role,table,op,expected,actual_outcome,actual_rows,actual_error,verdict,note
agent,contact_submissions,INSERT,DENY,ERROR,,"new row violates row-level security policy for table ""contact_submissions""",PASS,
agent,contact_submissions,SELECT,DENY,ALLOWED,0,,PASS,
agent,contact_submissions,UPDATE,DENY,ALLOWED,0,,PASS,
agent,contribution_run_uploads,DELETE,DENY,ALLOWED,0,,PASS,
agent,contribution_run_uploads,INSERT,DENY,ERROR,,"new row violates row-level security policy for table ""contribution_run_uploads""",PASS,
agent,contribution_run_uploads,SELECT,DENY,ALLOWED,0,,PASS,
agent,contribution_run_uploads,UPDATE,DENY,ALLOWED,0,,PASS,
agent,contribution_runs,DELETE,DENY,ALLOWED,0,,PASS,
agent,contribution_runs,INSERT,DENY,ERROR,,"new row violates row-level security policy for table ""contribution_runs""",PASS,
agent,contribution_runs,SELECT,DENY,ALLOWED,0,,PASS,
agent,contribution_runs,UPDATE,DENY,ALLOWED,0,,PASS,
agent,contribution_schedules,DELETE,DENY,ALLOWED,0,,PASS,
agent,contribution_schedules,INSERT,DENY,ERROR,,"new row violates row-level security policy for table ""contribution_schedules""",PASS,
agent,contribution_schedules,SELECT,SCOPED,ALLOWED,14,,PASS,
agent,contribution_schedules,UPDATE,DENY,ALLOWED,0,,PASS,
agent,custody_transfers,DELETE,DENY,ALLOWED,0,,PASS,
